seed,policy,profile,targets,cleared,all_cleared,virtual_time_s,move_distance_m,detect_count,switch_count,decision_steps
3046,active,edge,10,10,True,6779.679043449507,28673.39521724752,175,120,117
3047,fixed,edge,12,12,True,7803.061014986704,34060.3050749335,166,101,0
3047,active,edge,12,12,True,7356.200975415815,31716.004877079053,169,108,120
3048,fixed,edge,11,11,True,7101.221404377456,30706.10702188726,162,95,0
3048,active,edge,11,11,True,7142.737706849363,30668.688534246794,171,99,126
3049,fixed,edge,13,13,True,7744.267760948534,33481.33880474262,176,103,0
3049,active,edge,13,13,True,7800.407649943767,33512.03824971879,185,108,133
3050,fixed,edge,14,14,True,8507.84113950123,37329.2056975061,175,97,0
3050,active,edge,14,14,True,8822.336814119546,38746.68407059768,180,103,133
3051,fixed,edge,16,16,True,9726.805832329137,43439.029161645645,175,84,0
3051,active,edge,16,16,True,8844.336078400196,38826.680392000926,182,89,143
3052,fixed,edge,10,10,True,6952.280040201965,29626.4002010098,173,112,0
3052,active,edge,10,10,True,6644.391662311599,27856.958311557984,181,118,124
3053,fixed,edge,13,13,True,8378.41004511589,36192.050225579405,192,115,0
3053,active,edge,13,13,True,7787.900542711828,32949.5027135591,201,128,142
3054,fixed,edge,10,10,True,7000.776825877007,29803.884129385006,175,115,0
3054,active,edge,10,10,True,6750.868290326328,28319.34145163161,183,122,124
3055,fixed,edge,14,14,True,8407.823606095097,37069.118030475445,167,89,0
3055,active,edge,14,14,True,7876.144952210055,34180.72476105026,174,100,134
3056,fixed,edge,12,12,True,8079.252046149749,35181.26023074871,175,108,0
3056,active,edge,12,12,True,7765.282118966898,33456.41059483445,180,114,126
3057,fixed,edge,14,14,True,8630.853205260231,37784.26602630112,181,99,0
3057,active,edge,14,14,True,8452.733355086873,36598.666775434314,191,108,143
3058,fixed,edge,14,14,True,8183.115408648694,35685.577043243444,176,96,0
3058,active,edge,14,14,True,7892.6549618896615,33988.27480944828,185,100,139
3059,fixed,edge,10,10,True,6469.482988948777,27342.41494474387,168,111,0
3059,active,edge,10,10,True,6361.337003361496,26621.685016807456,174,117,117
3060,fixed,edge,11,11,True,7479.250492941619,31866.252464708068,186,121,0
3060,active,edge,11,11,True,6867.635450826042,28623.17725413018,191,133,126
3061,fixed,edge,11,11,True,6792.536204143938,28897.681020719676,170,108,0
3061,active,edge,11,11,True,6821.60433267352,28928.02166336758,174,111,119
3062,fixed,edge,16,16,True,9345.057653908494,41280.2882695424,184,89,0
3062,active,edge,16,16,True,8780.339486426217,38041.69743213104,198,102,157
3063,fixed,edge,12,12,True,7854.380388968914,34421.90194484453,163,95,0
3063,active,edge,12,12,True,7799.731029404138,33983.65514702066,168,103,123
3064,fixed,edge,14,14,True,8672.221817785046,38241.1090889252,172,94,0
3064,active,edge,14,14,True,8766.903900481338,38539.51950240665,178,99,135
3065,fixed,edge,14,14,True,8696.572006259283,38577.86003129639,166,81,0
3065,active,edge,14,14,True,8259.580937918012,36117.90468959003,175,91,140
3066,fixed,edge,11,11,True,7443.809096357456,32424.04548178727,161,99,0
3066,active,edge,11,11,True,7441.055270691902,32215.276353459496,168,103,120
3067,fixed,edge,11,11,True,7339.616858909043,31668.08429454519,169,106,0
3067,active,edge,11,11,True,7025.485617092672,29872.42808546334,177,111,124
3068,fixed,edge,12,12,True,7915.615967579099,34528.07983789548,169,105,0
3068,active,edge,12,12,True,7902.392682555164,34246.9634127758,177,108,125
3069,fixed,edge,11,11,True,7462.217464032293,32091.087320161438,176,109,0
3069,active,edge,11,11,True,7207.323354553832,30561.616772769128,185,115,130
3070,fixed,edge,14,14,True,8810.87485502362,38909.37427511807,173,94,0
3070,active,edge,14,14,True,8851.874855023621,38909.37427511807,180,100,136
3071,fixed,edge,10,10,True,6812.761052712446,29323.805263562215,158,108,0
3071,active,edge,10,10,True,6750.516988473919,28907.584942369576,161,114,107
3072,fixed,edge,11,11,True,7584.49620505841,32662.481025292032,177,112,0
3072,active,edge,11,11,True,7105.525668887841,30022.628344439196,185,121,127
3073,fixed,edge,11,11,True,7564.108321855965,32820.54160927979,168,105,0
3073,active,edge,11,11,True,7370.646490942757,31668.23245471375,174,112,121
3074,fixed,edge,12,12,True,7446.007310862917,32090.03655431456,172,108,0
3074,active,edge,12,12,True,6848.833204691481,28959.166023457383,176,117,122
3075,fixed,edge,14,14,True,8377.746439915061,36488.732199575265,182,100,0
3075,active,edge,14,14,True,8342.977542900198,36089.88771450096,190,105,141
3076,fixed,edge,14,14,True,7699.056359409371,33270.28179704684,176,95,0
3076,active,edge,14,14,True,7596.210590920587,32561.052954602914,183,99,138
3077,fixed,edge,12,12,True,7184.245918811041,30761.22959405517,173,107,0
3077,active,edge,12,12,True,6943.160331456062,29345.801657280284,180,114,126
3078,fixed,edge,10,10,True,6930.225047411147,29706.125237055723,166,109,0
3078,active,edge,10,10,True,6960.225047411147,29706.125237055723,171,114,115
3079,fixed,edge,14,14,True,8463.222375306173,36706.11187653081,189,107,0
3079,active,edge,14,14,True,7965.609895445522,33923.04947722757,198,121,143
3080,fixed,edge,13,13,True,8024.588103696589,34987.94051848293,173,97,0
3080,active,edge,13,13,True,7936.885970965943,34369.429854829694,179,103,132
3081,fixed,edge,10,10,True,6964.344061929187,30061.72030964593,159,107,0
3081,active,edge,10,10,True,6471.877832846592,27499.38916423295,162,112,109
